Section,Question,A,B,C,D,Correct,Explanation
MCQ on Pancreatitis,41. Which imaging test is used to detect pancreatic pseudocysts?,A) Abdominal CT scan,B) Thyroid ultrasound,C) Chest X-ray,D) DEXA scan,A,
MCQ on Pancreatitis,42. A nursing intervention for chronic pancreatitis includes:,A) Encouraging alcohol consumption,B) Monitoring for malabsorption symptoms,C) Restricting all carbohydrates,D) Limiting pain management,B,
MCQ on Pancreatitis,43. Which electrolyte should be monitored in acute pancreatitis?,A) Calcium,B) Sodium,C) Potassium,D) Magnesium,A,
MCQ on Pancreatitis,44. The Ranson criteria are used to assess:,A) Severity of acute pancreatitis,B) Thyroid function,C) Blood glucose levels,D) Adrenal function,A,
MCQ on Pancreatitis,45. Which symptom is associated with severe acute pancreatitis?,A) Shock,B) Weight gain,C) Hypoglycemia,D) Cold intolerance,A,
MCQ on Pancreatitis,46. Pancreatic pseudocysts are treated with:,A) Drainage or surgery,B) Insulin therapy,C) Thyroid hormone replacement,D) Calcium supplements,A,
MCQ on Pancreatitis,47. Which dietary recommendation is appropriate for chronic pancreatitis?,A) High-fat diet,"B) Low-fat, small frequent meals",C) High-sugar diet,D) Low-protein diet,B,
MCQ on Pancreatitis,48. Which complication of pancreatitis affects the lungs?,A) Pleural effusion,B) Kidney stones,C) Hypothyroidism,D) Osteoporosis,A,
MCQ on Jaundice,"50. Post-pancreatitis, a patient may need:",A) Pancreatic enzyme supplements,B) Thyroid hormone replacement,C) Calcium supplements,D) Antithyroid drugs,A,
MCQ on Jaundice,1. Jaundice is characterized by:,A) Yellowing of the skin and eyes,B) Weight gain,C) Muscle spasms,D) Hypoglycemia,A,
MCQ on Jaundice,2. The primary cause of jaundice is an elevation of:,A) Blood glucose,B) Bilirubin,C) Serum calcium,D) Thyroid hormone,B,
MCQ on Jaundice,3. Which type of jaundice is caused by liver dysfunction?,A) Pre-hepatic,B) Hepatic,C) Post-hepatic,D) Obstructive,B,
MCQ on Jaundice,4. A common symptom of jaundice is:,A) Dark urine,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Jaundice,5. Which diagnostic test confirms elevated bilirubin levels in jaundice?,A) Liver function tests (LFTs),B) Thyroid function tests,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Jaundice,6. Post-hepatic jaundice is often caused by:,A) Gallstones obstructing the bile duct,B) Hemolysis,C) Alcohol abuse,D) Hypothyroidism,A,
MCQ on Jaundice,7. A nursing intervention for jaundice includes:,A) Monitoring for itching (pruritus),B) Encouraging a high-fat diet,C) Restricting all fluids,D) Limiting skin care,A,
MCQ on Jaundice,8. Hepatic cirrhosis is defined as:,A) Inflammation of the liver,B) Scarring of the liver tissue,C) Formation of gallstones,D) Obstruction of the bile duct,B,
MCQ on Jaundice,9. A common cause of hepatic cirrhosis is:,A) Chronic alcohol abuse,B) Iodine deficiency,C) Hyperglycemia,D) Hypothyroidism,A,
MCQ on Jaundice,10. Which symptom is associated with hepatic cirrhosis?,A) Ascites,B) Weight loss,C) Tetany,D) Exophthalmos,A,
MCQ on Jaundice,11. The normal range for serum albumin is:,A) 3.5-5.0 g/dL,B) 1.0-2.0 g/dL,C) 5.5-7.0 g/dL,D) Below 1.0 g/dL,A,
MCQ on Jaundice,12. Which diagnostic test evaluates liver damage in cirrhosis?,A) Liver biopsy,B) Thyroid scan,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Jaundice,13. A complication of hepatic cirrhosis is:,A) Portal hypertension,B) Hypoglycemia,C) Osteoporosis,D) Hyperthyroidism,A,
MCQ on Jaundice,14. Which drug is used to reduce ammonia levels in cirrhosis?,A) Lactulose,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Jaundice,15. Portal hypertension is caused by:,A) Increased blood flow to the liver,B) Increased pressure in the portal vein,C) Decreased bilirubin levels,D) Hypocalcemia,B,
MCQ on Jaundice,16. A common cause of portal hypertension is:,A) Hepatic cirrhosis,B) Gallstones,C) Hypothyroidism,D) Hyperglycemia,A,
MCQ on Jaundice,17. Which symptom is associated with portal hypertension?,A) Esophageal varices,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Jaundice,18. Which diagnostic test visualizes esophageal varices in portal hypertension?,A) Endoscopy,B) Thyroid ultrasound,C) DEXA scan,D) ECG,A,
MCQ on Jaundice,19. A complication of portal hypertension is:,A) Variceal bleeding,B) Hypothyroidism,C) Kidney stones,D) Hyperglycemia,A,
MCQ on Jaundice,20. Which drug is used to prevent bleeding from esophageal varices?,A) Propranolol,B) Metformin,C) Levothyroxine,D) Desmopressin,A,
MCQ on Jaundice,21. A nursing intervention for portal hypertension includes:,A) Monitoring for signs of bleeding,B) Encouraging a high-sodium diet,C) Restricting all fluids,D) Limiting physical activity,A,
MCQ on Jaundice,22. Ascites is defined as:,A) Fluid accumulation in the peritoneal cavity,B) Inflammation of the liver,C) Obstruction of the bile duct,D) Formation of gallstones,A,
MCQ on Jaundice,23. A common cause of ascites is:,A) Hepatic cirrhosis,B) Hypothyroidism,C) Iodine deficiency,D) Hyperglycemia,A,
MCQ on Jaundice,24. Which symptom is associated with ascites?,A) Abdominal distension,B) Weight loss,C) Tetany,D) Polyuria,A,
MCQ on Jaundice,25. Which diagnostic test confirms ascites?,A) Abdominal ultrasound,B) Thyroid scan,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Jaundice,26. A drug used to manage ascites is:,A) Spironolactone,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Jaundice,27. A nursing intervention for ascites includes:,A) Monitoring daily weight,B) Encouraging a high-sodium diet,C) Restricting all fluids,D) Limiting diuretic use,A,
MCQ on Jaundice,28. Paracentesis is a procedure used to:,A) Remove fluid from the peritoneal cavity,B) Diagnose thyroid disorders,C) Treat hyperglycemia,D) Remove gallstones,A,
MCQ on Jaundice,29. Hepatic encephalopathy is caused by:,A) High ammonia levels in the blood,B) Low blood sugar,C) High thyroid hormone,D) Low calcium levels,A,
MCQ on Jaundice,30. A common symptom of hepatic encephalopathy is:,A) Confusion,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Jaundice,31. Which drug is used to reduce ammonia levels in hepatic encephalopathy?,A) Lactulose,B) Metformin,C) Levothyroxine,D) Desmopressin,A,
MCQ on Jaundice,32. A nursing intervention for hepatic encephalopathy includes:,A) Monitoring neurological status,B) Encouraging a high-protein diet,C) Restricting all fluids,D) Limiting lactulose use,A,
MCQ on Jaundice,33. Hepatic coma is a severe form of:,A) Hepatic encephalopathy,B) Jaundice,C) Ascites,D) Portal hypertension,A,
MCQ on Jaundice,34. Which diagnostic test monitors ammonia levels in hepatic encephalopathy?,A) Serum ammonia test,B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Jaundice,35. A dietary recommendation for hepatic encephalopathy is:,A) Low-protein diet,B) High-protein diet,C) High-sodium diet,D) High-fat diet,A,
MCQ on Jaundice,36. Viral hepatitis is caused by:,"A) Viruses (e.g., Hepatitis A, B, C)",B) Gallstones,C) Alcohol abuse,D) Hypothyroidism,A,
MCQ on Jaundice,37. Which type of hepatitis is transmitted through contaminated food or water?,A) Hepatitis B,B) Hepatitis A,C) Hepatitis C,D) Hepatitis D,B,
MCQ on Jaundice,38. A common symptom of viral hepatitis is:,A) Jaundice,B) Weight gain,C) Tetany,D) Hypoglycemia,A,
MCQ on Jaundice,39. Which diagnostic test confirms viral hepatitis?,"A) Hepatitis serology (e.g., anti-HAV, HBsAg)",B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Jaundice,40. A nursing intervention for viral hepatitis includes:,A) Promoting rest and hydration,B) Encouraging a high-fat diet,C) Restricting all fluids,D) Limiting antiviral drugs,A,
MCQ on Jaundice,41. A complication of chronic hepatitis B or C is:,A) Hepatocellular carcinoma,B) Hypothyroidism,C) Kidney stones,D) Osteoporosis,A,
MCQ on Jaundice,42. A common malignant tumor of the liver is:,A) Hepatocellular carcinoma,B) Pancreatic pseudocyst,C) Thyroid adenoma,D) Adrenal adenoma,A,
MCQ on Jaundice,43. A benign liver lesion is:,A) Hepatic cyst,B) Hepatocellular carcinoma,C) Metastatic liver tumor,D) Pheochromocytoma,A,
MCQ on Jaundice,44. Which diagnostic test detects liver tumors or cysts?,A) Abdominal CT scan,B) Thyroid ultrasound,C) DEXA scan,D) ECG,A,
MCQ on Jaundice,45. A risk factor for hepatocellular carcinoma is:,A) Chronic hepatitis B or C,B) Iodine deficiency,C) Hypothyroidism,D) Hyperglycemia,A,
MCQ on Jaundice,46. A liver abscess is:,A) A pus-filled cavity in the liver,B) A benign liver tumor,C) Inflammation of the bile duct,D) Obstruction of the portal vein,A,
MCQ on Jaundice,47. A common cause of liver abscess is:,A) Bacterial infection,B) Iodine deficiency,C) Hypothyroidism,D) Hyperglycemia,A,
MCQ on Jaundice,48. Which symptom is associated with liver abscess?,A) Right upper quadrant pain,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Jaundice,49. Which treatment is used for liver abscess?,A) Antibiotics and drainage,B) Insulin therapy,C) Thyroid hormone replacement,D) Calcium supplements,A,
MCQ on Viral Hepatitis,50. Which diagnostic test confirms a liver abscess?,A) Abdominal ultrasound or CT scan,B) Thyroid scan,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Viral Hepatitis,1. Viral hepatitis is primarily caused by:,A) Bacteria,"B) Viruses (e.g., Hepatitis A, B, C)",C) Parasites,D) Fungi,B,
MCQ on Viral Hepatitis,4. Hepatitis B is primarily transmitted through:,A) Contaminated food,B) Blood and body fluids,C) Airborne droplets,D) Skin contact,B,
MCQ on Viral Hepatitis,5. Which diagnostic test confirms Hepatitis A infection?,A) Anti-HAV IgM,B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Viral Hepatitis,6. The normal range for serum bilirubin is:,A) 0.1-1.0 mg/dL,B) 1.5-2.5 mg/dL,C) 2.5-3.5 mg/dL,D) Above 4.0 mg/dL,A,
MCQ on Viral Hepatitis,7. Which type of hepatitis is associated with chronic liver disease?,A) Hepatitis A,B) Hepatitis B,C) Hepatitis E,D) Hepatitis G,B,
MCQ on Viral Hepatitis,8. A common cause of Hepatitis C is:,A) Contaminated water,B) Blood transfusion with infected blood,C) Insect bites,D) Casual contact,B,
MCQ on Viral Hepatitis,9. Which symptom is NOT typically associated with viral hepatitis?,A) Fatigue,B) Dark urine,C) Muscle spasms,D) Nausea,C,
MCQ on Viral Hepatitis,10. The vaccine is available for which types of viral hepatitis?,A) Hepatitis A and B,B) Hepatitis C and D,C) Hepatitis D and E,D) Hepatitis A and C,A,
MCQ on Viral Hepatitis,11. Which laboratory test is elevated in viral hepatitis?,A) Alanine aminotransferase (ALT),B) Blood glucose,C) Serum calcium,D) Thyroid hormone,A,
MCQ on Viral Hepatitis,13. Which type of hepatitis requires co-infection with Hepatitis B?,A) Hepatitis A,B) Hepatitis C,C) Hepatitis D,D) Hepatitis E,C,
MCQ on Viral Hepatitis,14. A complication of chronic viral hepatitis is:,A) Hepatocellular carcinoma,B) Hypothyroidism,C) Osteoporosis,D) Hypoglycemia,A,
MCQ on Viral Hepatitis,15. Which drug is used to treat chronic Hepatitis C?,A) Sofosbuvir,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Viral Hepatitis,16. Hepatitis E is commonly transmitted through:,A) Blood transfusion,B) Contaminated water,C) Sexual contact,D) Airborne droplets,B,
MCQ on Viral Hepatitis,17. Which symptom of viral hepatitis is due to bilirubin accumulation in the skin?,A) Pruritus (itching),B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Viral Hepatitis,18. Which diagnostic test visualizes liver damage in viral hepatitis?,A) Abdominal ultrasound,B) Thyroid scan,C) DEXA scan,D) ECG,A,
MCQ on Viral Hepatitis,19. A dietary recommendation for viral hepatitis includes:,A) High-fat diet,B) Balanced diet with adequate calories,C) High-sugar diet,D) Low-protein diet,B,
MCQ on Viral Hepatitis,20. Which type of hepatitis is self-limiting and rarely becomes chronic?,A) Hepatitis B,B) Hepatitis C,C) Hepatitis A,D) Hepatitis D,C,
MCQ on Viral Hepatitis,21. A common sign of viral hepatitis is:,A) Pale stools,B) Weight gain,C) Muscle spasms,D) Hypoglycemia,A,
MCQ on Viral Hepatitis,22. Which test confirms Hepatitis B infection?,A) HBsAg (Hepatitis B surface antigen),B) Anti-HCV,C) Thyroid function test,D) ACTH stimulation test,A,
MCQ on Viral Hepatitis,23. A nursing priority for a patient with viral hepatitis is to prevent:,A) Spread of infection,B) High blood sugar,C) Hypocalcemia,D) Hyperthyroidism,A,
MCQ on Viral Hepatitis,24. Which precaution is important for Hepatitis B and C to prevent transmission?,A) Standard precautions,B) Airborne precautions,C) Droplet precautions,D) Contact precautions only,A,
MCQ on Viral Hepatitis,25. Chronic Hepatitis B may lead to:,A) Cirrhosis,B) Hypothyroidism,C) Kidney stones,D) Osteoporosis,A,
MCQ on Viral Hepatitis,26. Which symptom is associated with severe viral hepatitis?,A) Ascites,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Viral Hepatitis,28. A liver biopsy is used to assess:,A) Severity of liver damage,B) Thyroid function,C) Blood glucose levels,D) Adrenal function,A,
MCQ on Viral Hepatitis,29. Which type of hepatitis is most common in pregnant women in developing countries?,A) Hepatitis A,B) Hepatitis B,C) Hepatitis C,D) Hepatitis E,D,
MCQ on Viral Hepatitis,30. A complication of viral hepatitis is:,A) Hepatic encephalopathy,B) Hypoglycemia,C) Hyperthyroidism,D) Tetany,A,
MCQ on Viral Hepatitis,31. Which laboratory finding indicates liver damage in viral hepatitis?,A) Elevated aspartate aminotransferase (AST),B) Low thyroid hormone,C) High cortisol,D) Low insulin,A,
MCQ on Viral Hepatitis,32. A patient with viral hepatitis should avoid:,A) Alcohol,B) High-fiber foods,C) Lean proteins,D) Non-starchy vegetables,A,
MCQ on Viral Hepatitis,33. Which symptom is due to bile duct obstruction in viral hepatitis?,A) Dark urine,B) Weight gain,C) Muscle spasms,D) Hypoglycemia,A,
MCQ on Viral Hepatitis,34. The incubation period for Hepatitis A is typically:,A) 15-50 days,B) 1-7 days,C) 60-90 days,D) Over 120 days,A,
MCQ on Viral Hepatitis,35. Which test monitors liver function in viral hepatitis?,A) Liver function tests (LFTs),B) Thyroid function tests,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Viral Hepatitis,37. Which type of hepatitis has no vaccine available?,A) Hepatitis A,B) Hepatitis B,C) Hepatitis C,D) Hepatitis D,C,
MCQ on Viral Hepatitis,38. Which symptom is NOT typical of viral hepatitis?,A) Anorexia,B) Fatigue,C) Moon face,D) Abdominal pain,C,
MCQ on Viral Hepatitis,39. A preventive measure for Hepatitis A includes:,A) Handwashing and safe food practices,B) Avoiding all carbohydrates,C) Limiting physical activity,D) Restricting water intake,A,
MCQ on Viral Hepatitis,40. Which complication is associated with chronic Hepatitis C?,A) Liver fibrosis,B) Hypothyroidism,C) Osteoporosis,D) Hypoglycemia,A,
MCQ on Viral Hepatitis,41. Which drug is used as part of combination therapy for Hepatitis C?,A) Ribavirin,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Viral Hepatitis,42. A patient with viral hepatitis may develop:,A) Portal hypertension,B) Hyperthyroidism,C) Tetany,D) Weight gain,A,
MCQ on Viral Hepatitis,43. Which imaging test detects liver damage in viral hepatitis?,A) Abdominal CT scan,B) Thyroid ultrasound,C) DEXA scan,D) ECG,A,
MCQ on Viral Hepatitis,45. Which type of hepatitis is bloodborne and associated with IV drug use?,A) Hepatitis A,B) Hepatitis C,C) Hepatitis E,D) Hepatitis G,B,
MCQ on Viral Hepatitis,46. A nursing intervention for Hepatitis B includes:,A) Educating on safe sexual practices,B) Encouraging alcohol consumption,C) Restricting all fluids,D) Limiting antiviral therapy,A,
MCQ on Viral Hepatitis,47. Which symptom is associated with acute viral hepatitis?,A) Fever,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Viral Hepatitis,48. The HBeAg test is used to assess:,A) Hepatitis B infectivity,B) Thyroid function,C) Blood glucose levels,D) Adrenal function,A,
MCQ on Viral Hepatitis,49. Which complication of viral hepatitis requires urgent treatment?,A) Fulminant hepatitis,B) Hypothyroidism,C) Osteoporosis,D) Hypoglycemia,A,
MCQ on Liver Cirrhosis complications,1. A common complication of liver cirrhosis is:,A) Portal hypertension,B) Hypothyroidism,C) Osteoporosis,D) Hyperglycemia,A,
MCQ on Liver Cirrhosis complications,3. Ascites in liver cirrhosis is defined as:,A) Fluid accumulation in the peritoneal cavity,B) Inflammation of the liver,C) Obstruction of the bile duct,D) Formation of gallstones,A,
MCQ on Liver Cirrhosis complications,4. A hallmark symptom of ascites is:,A) Abdominal distension,B) Weight loss,C) Tetany,D) Polyuria,A,
MCQ on Liver Cirrhosis complications,5. Esophageal varices are a complication of:,A) Hypothyroidism,B) Portal hypertension,C) Hyperglycemia,D) Hypocalcemia,B,
MCQ on Liver Cirrhosis complications,6. A life-threatening complication of esophageal varices is:,A) Variceal bleeding,B) Hypoglycemia,C) Osteoporosis,D) Hyperthyroidism,A,
MCQ on Liver Cirrhosis complications,10. The normal range for serum ammonia is approximately:,A) 15-45 µg/dL,B) 50-100 µg/dL,C) 100-150 µg/dL,D) Above 200 µg/dL,A,
MCQ on Liver Cirrhosis complications,11. Which diagnostic test confirms ascites in liver cirrhosis?,A) Abdominal ultrasound,B) Thyroid scan,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Liver Cirrhosis complications,14. Which procedure is used to remove fluid in ascites?,A) Paracentesis,B) Endoscopy,C) Thyroidectomy,D) Cholecystectomy,A,
MCQ on Liver Cirrhosis complications,15. A common symptom of esophageal varices is:,A) Hematemesis,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Liver Cirrhosis complications,16. Which diagnostic test visualizes esophageal varices?,A) Upper endoscopy,B) Thyroid ultrasound,C) DEXA scan,D) ECG,A,
MCQ on Liver Cirrhosis complications,17. A drug used to prevent bleeding from esophageal varices is:,A) Propranolol,B) Insulin,C) Levothyroxine,D) Calcitonin,A,
MCQ on Liver Cirrhosis complications,18. Hepatocellular carcinoma is a complication of:,A) Chronic liver cirrhosis,B) Hypothyroidism,C) Osteoporosis,D) Hyperglycemia,A,
MCQ on Liver Cirrhosis complications,19. Which diagnostic test detects hepatocellular carcinoma?,A) Abdominal CT scan,B) Thyroid scan,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Liver Cirrhosis complications,21. Hepatorenal syndrome is a complication of liver cirrhosis affecting:,A) The kidneys,B) The thyroid,C) The pancreas,D) The adrenal glands,A,
MCQ on Liver Cirrhosis complications,22. A symptom of hepatorenal syndrome is:,A) Oliguria,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Liver Cirrhosis complications,23. Spontaneous bacterial peritonitis (SBP) is an infection of:,A) Ascitic fluid,B) The gallbladder,C) The bile duct,D) The pancreas,A,
MCQ on Liver Cirrhosis complications,24. Which diagnostic test confirms spontaneous bacterial peritonitis?,A) Ascitic fluid analysis,B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Liver Cirrhosis complications,25. Which drug is used to treat spontaneous bacterial peritonitis?,"A) Antibiotics (e.g., ceftriaxone)",B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Liver Cirrhosis complications,26. A nursing intervention for esophageal varices includes:,A) Monitoring for signs of bleeding,B) Encouraging a high-sodium diet,C) Restricting all fluids,D) Limiting beta-blocker use,A,
MCQ on Liver Cirrhosis complications,27. A complication of untreated hepatic encephalopathy is:,A) Hepatic coma,B) Hypoglycemia,C) Osteoporosis,D) Hyperthyroidism,A,
MCQ on Liver Cirrhosis complications,28. Which test monitors ammonia levels in hepatic encephalopathy?,A) Serum ammonia test,B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Liver Cirrhosis complications,30. Which symptom is NOT typical of portal hypertension?,A) Splenomegaly,B) Esophageal varices,C) Tetany,D) Ascites,C,
MCQ on Liver Cirrhosis complications,32. Hypoalbuminemia in liver cirrhosis contributes to:,A) Ascites,B) Hypoglycemia,C) Hyperthyroidism,D) Tetany,A,
MCQ on Liver Cirrhosis complications,33. Which procedure is used to manage bleeding esophageal varices?,A) Endoscopic band ligation,B) Paracentesis,C) Thyroidectomy,D) Cholecystectomy,A,
MCQ on Liver Cirrhosis complications,34. A symptom of hepatocellular carcinoma is:,A) Right upper quadrant pain,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Liver Cirrhosis complications,35. Which tumor marker is elevated in hepatocellular carcinoma?,A) Alpha-fetoprotein (AFP),B) Thyroid-stimulating hormone (TSH),C) Blood glucose,D) Serum calcium,A,
MCQ on Liver Cirrhosis complications,36. A nursing intervention for hepatorenal syndrome includes:,A) Monitoring renal function,B) Encouraging a high-sodium diet,C) Restricting all fluids,D) Limiting diuretic use,A,
MCQ on Liver Cirrhosis complications,37. Which electrolyte imbalance is common in ascites?,A) Hyponatremia,B) Hyperkalemia,C) Hypercalcemia,D) Hypophosphatemia,A,
MCQ on Liver Cirrhosis complications,38. A transjugular intrahepatic portosystemic shunt (TIPS) is used to treat:,A) Portal hypertension,B) Hypothyroidism,C) Osteoporosis,D) Hyperglycemia,A,
MCQ on Liver Cirrhosis complications,39. A symptom of spontaneous bacterial peritonitis is:,A) Fever and abdominal pain,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Liver Cirrhosis complications,40. Which drug is used to manage portal hypertension?,A) Nadolol,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Liver Cirrhosis complications,41. Coagulopathy in liver cirrhosis is due to:,A) Decreased clotting factor production,B) Increased thyroid hormone,C) High blood sugar,D) Low calcium levels,A,
MCQ on Liver Cirrhosis complications,42. Which test assesses clotting function in liver cirrhosis?,A) Prothrombin time (PT/INR),B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Liver Cirrhosis complications,43. A complication of liver cirrhosis is:,A) Hepatic encephalopathy,B) Hypothyroidism,C) Osteoporosis,D) Hyperglycemia,A,
MCQ on Liver Cirrhosis complications,44. Which symptom is associated with severe hepatic encephalopathy?,A) Asterixis (flapping tremor),B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Liver Cirrhosis complications,45. A dietary recommendation for ascites includes:,A) Low-sodium diet,B) High-sodium diet,C) High-fat diet,D) Low-protein diet,A,
MCQ on Liver Cirrhosis complications,46. Which imaging test detects complications like hepatocellular carcinoma?,A) Abdominal MRI,B) Thyroid ultrasound,C) DEXA scan,D) ECG,A,
MCQ on Liver Cirrhosis complications,47. A nursing intervention for spontaneous bacterial peritonitis includes:,A) Monitoring for fever and abdominal pain,B) Encouraging a high-sodium diet,C) Restricting all fluids,D) Limiting antibiotic use,A,
MCQ on Liver Cirrhosis complications,48. Which complication of liver cirrhosis affects the lungs?,A) Hepatopulmonary syndrome,B) Hypothyroidism,C) Osteoporosis,D) Hyperglycemia,A,
MCQ on Liver Cirrhosis complications,49. A symptom of hepatopulmonary syndrome is:,A) Dyspnea,B) Weight gain,C) Tetany,D) Polyuria,A,
MCQ on Assessment of Endocrinal function History,50. Which drug may be used to improve clotting in liver cirrhosis?,A) Vitamin K,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Assessment of Endocrinal function History,"1. When assessing endocrine function, which symptom is commonly reported in the history of a patient with hypothyroidism?",A) Weight loss,B) Fatigue and cold intolerance,C) Tremors,D) Increased appetite,B,
MCQ on Assessment of Endocrinal function History,2. A patient with a history of polyuria and polydipsia may be suspected of having:,A) Diabetes mellitus or diabetes insipidus,B) Hypoparathyroidism,C) Hyperthyroidism,D) Cushing’s syndrome,A,
MCQ on Assessment of Endocrinal function History,3. Which question is important to ask when taking a history for suspected hyperthyroidism?,A) “Do you experience weight gain?”,B) “Do you feel nervous or have palpitations?”,C) “Do you have muscle cramps?”,D) “Do you feel cold all the time?”,B,
MCQ on Assessment of Endocrinal function History,4. A family history of which condition is relevant for assessing endocrine disorders?,A) Autoimmune diseases,B) Osteoarthritis,C) Hypertension,D) Asthma,A,
MCQ on Assessment of Endocrinal function History,5. A history of excessive thirst and dilute urine suggests:,A) Diabetes insipidus,B) Hypothyroidism,C) Hyperparathyroidism,D) Addison’s disease,A,
MCQ on Assessment of Endocrinal function History,"6. When assessing for Cushing’s syndrome, which symptom should be explored in the history?",A) Weight gain and easy bruising,B) Weight loss and tremors,C) Cold intolerance,D) Polyuria only,A,
MCQ on Assessment of Endocrinal function History,7. A history of salt craving and dizziness may indicate:,A) Addison’s disease,B) Hyperthyroidism,C) Hypoparathyroidism,D) Diabetes mellitus,A,
MCQ on Assessment of Endocrinal function History,8. Which medication history is relevant for endocrine assessment?,A) Long-term glucocorticoid use,B) Antibiotics,C) Antihypertensives,D) Antihistamines,A,
MCQ on Assessment of Endocrinal function History,9. A patient reporting irregular menstrual cycles may have a disorder related to:,A) Pituitary or thyroid gland,B) Parathyroid gland,C) Adrenal medulla,D) Pancreas only,A,
MCQ on Assessment of Endocrinal function History,10. A history of recent head trauma is significant when assessing for:,A) Diabetes insipidus,B) Hyperparathyroidism,C) Hypothyroidism,D) Pheochromocytoma,A,
MCQ on Assessment of Endocrinal function History,11. Which physical sign is observed in hyperthyroidism?,A) Exophthalmos,B) Moon face,C) Bronze skin pigmentation,D) Tetany,A,
MCQ on Assessment of Endocrinal function History,12. A patient with Cushing’s syndrome may exhibit:,A) Buffalo hump,B) Weight loss,C) Hypopigmentation,D) Cold intolerance,A,
MCQ on Assessment of Endocrinal function History,13. Chvostek’s sign is assessed in suspected:,A) Hypoparathyroidism,B) Hyperthyroidism,C) Diabetes mellitus,D) Addison’s disease,A,
MCQ on Assessment of Endocrinal function History,15. A goiter is a physical finding associated with:,A) Thyroid disorders,B) Parathyroid disorders,C) Adrenal disorders,D) Pancreatic disorders,A,
MCQ on Assessment of Endocrinal function History,16. Bronze skin pigmentation is a physical sign of:,A) Addison’s disease,B) Cushing’s syndrome,C) Hyperparathyroidism,D) Diabetes insipidus,A,
MCQ on Assessment of Endocrinal function History,17. Which physical examination finding is associated with acromegaly?,A) Enlarged hands and feet,B) Muscle spasms,C) Weight loss,D) Hypopigmentation,A,
MCQ on Assessment of Endocrinal function History,18. A patient with diabetes mellitus may show:,A) Dry skin and delayed wound healing,B) Exophthalmos,C) Buffalo hump,D) Tetany,A,
MCQ on Assessment of Endocrinal function History,19. Tremors and tachycardia on physical examination suggest:,A) Hyperthyroidism,B) Hypothyroidism,C) Hypoparathyroidism,D) Addison’s disease,A,
MCQ on Assessment of Endocrinal function History,20. Which physical sign is NOT typically associated with endocrine disorders?,A) Moon face,B) Jaundice,C) Hirsutism,D) Striae,B,
MCQ on Assessment of Endocrinal function History,21. The normal range for fasting blood glucose is:,A) 70-99 mg/dL,B) 100-150 mg/dL,C) 151-200 mg/dL,D) Above 200 mg/dL,A,
MCQ on Assessment of Endocrinal function History,23. The normal range for thyroid-stimulating hormone (TSH) is approximately:,A) 0.4-4.0 mIU/L,B) 5.0-10.0 mIU/L,C) 10-20 mIU/L,D) Below 0.1 mIU/L,A,
MCQ on Assessment of Endocrinal function History,24. Which test assesses thyroid function?,A) Free T4 and TSH,B) Serum cortisol,C) Blood glucose,D) Serum calcium,A,
MCQ on Assessment of Endocrinal function History,26. A high serum cortisol level suggests:,A) Cushing’s syndrome,B) Addison’s disease,C) Hypoparathyroidism,D) Diabetes mellitus,A,
MCQ on Assessment of Endocrinal function History,27. Which test confirms Addison’s disease?,A) ACTH stimulation test,B) Dexamethasone suppression test,C) Thyroid function test,D) Glucose tolerance test,A,
